2021/05/17 08:08:56 [error] 11#11: *10 open() "/docker/www/webserver/admin/index/static/js/jquery-ui.min.js" failed (2: No such file or directory), client: 172.27.0.1, server: , request: "GET /static/js/jquery-ui.min.js HTTP/1.1", host: "localhost:9091", referrer: "http://localhost:9091/"
2021/05/17 08:08:56 [error] 9#9: *6 open() "/docker/www/webserver/admin/index/static/js/ns_tool.js" failed (2: No such file or directory), client: 172.27.0.1, server: , request: "GET /static/js/ns_tool.js HTTP/1.1", host: "localhost:9091", referrer: "http://localhost:9091/"
2021/05/17 08:08:56 [error] 8#8: *8 open() "/docker/www/webserver/admin/index/static/js/load_bottom.js" failed (2: No such file or directory), client: 172.27.0.1, server: , request: "GET /static/js/load_bottom.js HTTP/1.1", host: "localhost:9091", referrer: "http://localhost:9091/"
2021/05/17 08:08:56 [error] 11#11: *10 open() "/docker/www/webserver/admin/index/static/js/jquery.timers.js" failed (2: No such file or directory), client: 172.27.0.1, server: , request: "GET /static/js/jquery.timers.js HTTP/1.1", host: "localhost:9091", referrer: "http://localhost:9091/"
2021/05/17 08:08:56 [error] 9#9: *5 open() "/docker/www/webserver/admin/index/static/js/exporting.js" failed (2: No such file or directory), client: 172.27.0.1, server: , request: "GET /static/js/exporting.js HTTP/1.1", host: "localhost:9091", referrer: "http://localhost:9091/"
2021/05/17 08:08:56 [error] 8#8: *9 open() "/docker/www/webserver/admin/index/static/js/highcharts.js" failed (2: No such file or directory), client: 172.27.0.1, server: , request: "GET /static/js/highcharts.js HTTP/1.1", host: "localhost:9091", referrer: "http://localhost:9091/"
2021/05/17 08:08:56 [error] 9#9: *6 open() "/docker/www/webserver/admin/index/static/js/bootstrap_1.js" failed (2: No such file or directory), client: 172.27.0.1, server: , request: "GET /static/js/bootstrap_1.js HTTP/1.1", host: "localhost:9091", referrer: "http://localhost:9091/"
2021/05/17 08:08:56 [error] 8#8: *7 open() "/docker/www/webserver/admin/index/static/js/index.js" failed (2: No such file or directory), client: 172.27.0.1, server: , request: "GET /static/js/index.js HTTP/1.1", host: "localhost:9091", referrer: "http://localhost:9091/"
2021/05/17 08:08:56 [error] 8#8: *7 open() "/docker/www/webserver/admin/index/static/js/page.js" failed (2: No such file or directory), client: 172.27.0.1, server: , request: "GET /static/js/page.js HTTP/1.1", host: "localhost:9091", referrer: "http://localhost:9091/"
2021/05/17 08:08:56 [error] 9#9: *6 open() "/docker/www/webserver/admin/index/static/js/bootstrapswitch.js" failed (2: No such file or directory), client: 172.27.0.1, server: , request: "GET /static/js/bootstrapswitch.js HTTP/1.1", host: "localhost:9091", referrer: "http://localhost:9091/"
